AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,OWN_CODE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
99,U.S.,1,US,000000,Cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,861140.0,,,41.58,86480.0,20.23,27.03,37.0,50.42,69.52,42070.0,56220.0,76950.0,104870.0,144610.0
99,U.S.,1,US,000000,Cross-industry,1235,15-1242,Database Administrators,73180.0,,,51.65,107440.0,27.32,36.59,50.3,63.87,77.35,56820.0,76100.0,104620.0,132850.0,160890.0
99,U.S.,1,US,000000,Cross-industry,1235,15-1243,Database Architects,64770.0,,,68.57,142620.0,39.24,51.88,65.37,81.48,100.96,81630.0,107900.0,135980.0,169480.0,209990.0
99,U.S.,1,US,000000,Cross-industry,1235,15-2031,Operations Research Analysts,107760.0,,,47.66,99120.0,25.92,32.17,43.89,59.67,76.58,53910.0,66910.0,91290.0,124120.0,159280.0
99,U.S.,1,US,000000,Cross-industry,1235,15-2051,Data Scientists,233440.0,,,59.9,124590.0,30.6,39.73,54.13,74.91,93.47,63650.0,82630.0,112590.0,155810.0,194410.0
99,U.S.,1,US,000001,"Cross-industry, Private Ownership only",5,13-1161,Market Research Analysts and Marketing Specialists,843970.0,,,41.71,86770.0,20.22,27.1,37.08,50.58,70.05,42050.0,56360.0,77120.0,105210.0,145690.0
99,U.S.,1,US,000001,"Cross-industry, Private Ownership only",5,15-1242,Database Administrators,62300.0,,,52.53,109260.0,27.06,36.91,51.76,65.17,78.2,56290.0,76780.0,107660.0,135550.0,162660.0
99,U.S.,1,US,000001,"Cross-industry, Private Ownership only",5,15-1243,Database Architects,62670.0,,,69.11,143750.0,39.65,52.7,65.81,81.88,101.3,82480.0,109610.0,136880.0,170310.0,210700.0
99,U.S.,1,US,000001,"Cross-industry, Private Ownership only",5,15-2031,Operations Research Analysts,89270.0,,,48.01,99860.0,26.85,32.95,44.87,59.69,76.46,55850.0,68530.0,93340.0,124140.0,159030.0
99,U.S.,1,US,000001,"Cross-industry, Private Ownership only",5,15-2051,Data Scientists,223320.0,,,60.58,126010.0,30.83,40.21,55.9,75.93,95.15,64130.0,83640.0,116280.0,157930.0,197910.0
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",5,13-1161,Market Research Analysts and Marketing Specialists,180.0,,,37.71,78440.0,20.0,24.73,34.61,50.21,61.41,41600.0,51440.0,71990.0,104450.0,127720.0
99,U.S.,1,US,115000,Support Activities for Agriculture and Forestry,5,13-1161,Market Research Analysts and Marketing Specialists,170.0,,,37.64,78280.0,20.02,24.73,34.09,49.92,61.41,41630.0,51440.0,70900.0,103840.0,127730.0
99,U.S.,1,US,115100,Support Activities for Crop Production,5,13-1161,Market Research Analysts and Marketing Specialists,120.0,,,38.86,80840.0,20.23,24.73,37.44,50.34,60.09,42090.0,51440.0,77880.0,104700.0,125000.0
